language,wals,metric,algorithm,value,run_id
MAXAKALI,max,del-verses,gzip,-0.8892809072880911,9
MUNDURUKÚ,muu,del-verses,gzip,-0.8873416771108275,0
MUNDURUKÚ,muu,del-verses,gzip,-0.8853202266334764,1
MUNDURUKÚ,muu,del-verses,gzip,-0.8887740191633505,2
MUNDURUKÚ,muu,del-verses,gzip,-0.8823284799269968,3
MUNDURUKÚ,muu,del-verses,gzip,-0.8832294692826161,4
MUNDURUKÚ,muu,del-verses,gzip,-0.8815372264544337,5
MUNDURUKÚ,muu,del-verses,gzip,-0.8872492679461486,6
MUNDURUKÚ,muu,del-verses,gzip,-0.8843961349866873,7
MUNDURUKÚ,muu,del-verses,gzip,-0.8870124694616589,8
MUNDURUKÚ,muu,del-verses,gzip,-0.8878903565261085,9
NADEB,nad,del-verses,gzip,-0.8892883749554628,0
NADEB,nad,del-verses,gzip,-0.8899880154180028,1
NADEB,nad,del-verses,gzip,-0.8870469342143621,2
NADEB,nad,del-verses,gzip,-0.8908625659961779,3
NADEB,nad,del-verses,gzip,-0.8889709454863473,4
NADEB,nad,del-verses,gzip,-0.8913354711236355,5
NADEB,nad,del-verses,gzip,-0.8854079616493377,6
NADEB,nad,del-verses,gzip,-0.8885822563404917,7
NADEB,nad,del-verses,gzip,-0.8888608168950215,8
NADEB,nad,del-verses,gzip,-0.8843196320409419,9
NAMBIKUÁRA,nmb,del-verses,gzip,-0.891266942095529,0
NAMBIKUÁRA,nmb,del-verses,gzip,-0.878182537564755,1
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8875357704800375,2
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8899649426292108,3
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8866754386772053,4
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8887917628980759,5
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8904664194554606,6
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8874069507448541,7
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8854424497833068,8
NAMBIKUÁRA,nmb,del-verses,gzip,-0.8897165045684999,9
NHEENGATU,[yrl],del-verses,gzip,-0.8867798961438239,0
NHEENGATU,[yrl],del-verses,gzip,-0.8921414243668335,1
NHEENGATU,[yrl],del-verses,gzip,-0.8917477457210881,2
NHEENGATU,[yrl],del-verses,gzip,-0.8877922126614551,3
NHEENGATU,[yrl],del-verses,gzip,-0.8891232214161183,4
NHEENGATU,[yrl],del-verses,gzip,-0.8872016946928369,5
NHEENGATU,[yrl],del-verses,gzip,-0.8906979359991002,6
NHEENGATU,[yrl],del-verses,gzip,-0.8926194627223816,7
NHEENGATU,[yrl],del-verses,gzip,-0.888260877715914,8
NHEENGATU,[yrl],del-verses,gzip,-0.8898074723956283,9
PALIKÚR,plk,del-verses,gzip,-0.8852974927843655,0
PALIKÚR,plk,del-verses,gzip,-0.8864392437783264,1
PALIKÚR,plk,del-verses,gzip,-0.8900325717796247,2
PALIKÚR,plk,del-verses,gzip,-0.8942981998585852,3
PALIKÚR,plk,del-verses,gzip,-0.8894530027471572,4
PALIKÚR,plk,del-verses,gzip,-0.8847121280615734,5
PALIKÚR,plk,del-verses,gzip,-0.8829908080351451,6
PALIKÚR,plk,del-verses,gzip,-0.8889661647598845,7
PALIKÚR,plk,del-verses,gzip,-0.8818026915185868,8
PALIKÚR,plk,del-verses,gzip,-0.8888734337146897,9
PARECÍS,pex,del-verses,gzip,-0.8899099362964048,0
PARECÍS,pex,del-verses,gzip,-0.8840521344365527,1
PARECÍS,pex,del-verses,gzip,-0.8869810353664788,2
PARECÍS,pex,del-verses,gzip,-0.8909277293695541,3
PARECÍS,pex,del-verses,gzip,-0.8854287178736179,4
PARECÍS,pex,del-verses,gzip,-0.8868858460862561,5
PARECÍS,pex,del-verses,gzip,-0.8857655414805594,6
PARECÍS,pex,del-verses,gzip,-0.8888042761953577,7
PARECÍS,pex,del-verses,gzip,-0.8894559566522663,8
PARECÍS,pex,del-verses,gzip,-0.8822362158599986,9
PAUMARÍ,pau,del-verses,gzip,-0.8902474108170311,0
PAUMARÍ,pau,del-verses,gzip,-0.8830126156075523,1
PAUMARÍ,pau,del-verses,gzip,-0.8835453693048629,2
PAUMARÍ,pau,del-verses,gzip,-0.8919042748156673,3
PAUMARÍ,pau,del-verses,gzip,-0.886944337893705,4
PAUMARÍ,pau,del-verses,gzip,-0.8841100882240123,5
PAUMARÍ,pau,del-verses,gzip,-0.8839289519669267,6
PAUMARÍ,pau,del-verses,gzip,-0.8893577121425222,7
PAUMARÍ,pau,del-verses,gzip,-0.8881536887866002,8
PAUMARÍ,pau,del-verses,gzip,-0.8822880705792098,9
PIRATAPÚYA,prt,del-verses,gzip,-0.8847675060675716,0
PIRATAPÚYA,prt,del-verses,gzip,-0.8905975113325543,1
PIRATAPÚYA,prt,del-verses,gzip,-0.8856021984513246,2
PIRATAPÚYA,prt,del-verses,gzip,-0.8855829363193918,3
PIRATAPÚYA,prt,del-verses,gzip,-0.8840291243434824,4
PIRATAPÚYA,prt,del-verses,gzip,-0.8861800624093075,5
PIRATAPÚYA,prt,del-verses,gzip,-0.888491518241239,6
PIRATAPÚYA,prt,del-verses,gzip,-0.8840483864754151,7
PIRATAPÚYA,prt,del-verses,gzip,-0.8903920485919381,8
PIRATAPÚYA,prt,del-verses,gzip,-0.8900260680852157,9
PORTUGUESE,por,del-verses,gzip,-0.8890880242031619,0
PORTUGUESE,por,del-verses,gzip,-0.8875588842210841,1
